Kategoria;Pozycja;Ilosc;Jm;Uwagi
Plyta;PLYTA_BIALA_18;1.293;m2;netto
Plyta;HDF_BIALA_3;0.403;m2;netto
Plyta;plyta_16mm;0.919;m2;netto
Plyta;K5307_18;0.384;m2;netto
Obrzeze;abs_PLYTA_BIALA_18;3.16;mb;
Obrzeze;abs_K5307_18;4.86;mb;
Okucia;LEGRABOX M NL500 40kg SW-M (BLUMOTION S);1;szt/kpl;runner
Okucia;LEGRABOX C NL500 40kg SW-M (BLUMOTION S);1;szt/kpl;runner
Okucia;LEGRABOX C NL500 40kg SW-M (BLUMOTION S);1;szt/kpl;runner
Okucia;Konfirmat 7x50;10;szt/kpl;fastener
Okucia;Wkret euro 6.3x13;24;szt/kpl;fastener
Okucia;Nozka regulowana 100 mm;4;szt/kpl;leg
Okucia;Klips cokolu + zaczep;4;szt/kpl;plinth_clip
Okucia;Zszywki/wkrety HDF;1;szt/kpl;fastener
