Kategoria;Pozycja;Ilosc;Jm;Uwagi
Plyta;Plyta biala 18 mm (korpus + cokol);1.293;m2;netto, bez zapasu rozkroju
Plyta;Plyta biala 16 mm (dna i tyly szuflad);0.919;m2;netto
Plyta;Plyta K5307 18 mm (fronty);0.426;m2;netto, uslojenie pionowe
Plyta;HDF 3 mm biala (plecy);0.403;m2;netto
Obrzeze;ABS 0.8x22 biala;2.57;mb;boki/dno/trawers przedni/cokol - krawedzie przednie
Obrzeze;ABS 2x23 K5307;5.00;mb;fronty 4 krawedzie
Okucia;LEGRABOX pure M, NL500, 40kg, komplet (boki+prowadnice+sprzegla+mocowanie frontu);1;kpl;szuflada S1
Okucia;LEGRABOX pure C, NL500, 40kg, komplet;2;kpl;szuflady S2, S3
Okucia;Konfirmat 7x50;12;szt;10 + zapas
Okucia;Wkret euro 6.3x13 (prowadnice);24;szt;4 na prowadnice x 6 prowadnic
Okucia;Nozka regulowana 100 mm;4;szt;
Okucia;Klips cokolu + zaczep;4;szt;
Okucia;Zszywki/wkrety HDF;1;kpl;plecy do trawersu tylnego
