panel_id;edge;length_mm;material
K01-BOK-L;gora;510;ABS_0.8
K01-BOK-L;lewo;720;ABS_0.8
K01-BOK-P;gora;510;ABS_0.8
K01-BOK-P;lewo;720;ABS_0.8
K01-GORA;lewo;502;ABS_0.8
K01-DNO;lewo;502;ABS_0.8
K01-F1;gora;794;ABS_0.8
K01-F1;dol;794;ABS_0.8
K01-F1;lewo;714;ABS_0.8
K01-F1;prawo;714;ABS_0.8
K02-BOK-L;gora;510;ABS_0.8
K02-BOK-L;lewo;720;ABS_0.8
K02-BOK-P;gora;510;ABS_0.8
K02-BOK-P;lewo;720;ABS_0.8
K02-GORA;lewo;502;ABS_0.8
K02-DNO;lewo;502;ABS_0.8
K02-F1;gora;594;ABS_0.8
K02-F1;dol;594;ABS_0.8
K02-F1;lewo;355.5;ABS_0.8
K02-F1;prawo;355.5;ABS_0.8
K02-F2;gora;594;ABS_0.8
K02-F2;dol;594;ABS_0.8
K02-F2;lewo;355.5;ABS_0.8
K02-F2;prawo;355.5;ABS_0.8
K03-BOK-L;gora;510;ABS_0.8
K03-BOK-L;lewo;720;ABS_0.8
K03-BOK-P;gora;510;ABS_0.8
K03-BOK-P;lewo;720;ABS_0.8
K03-GORA;lewo;502;ABS_0.8
K03-DNO;lewo;502;ABS_0.8
K03-POL1;lewo;465;ABS_0.8
K03-F1;gora;894;ABS_0.8
K03-F1;dol;894;ABS_0.8
K03-F1;lewo;714;ABS_0.8
K03-F1;prawo;714;ABS_0.8
G01-BOK-L;gora;300;ABS_0.8
G01-BOK-L;lewo;720;ABS_0.8
G01-BOK-P;gora;300;ABS_0.8
G01-BOK-P;lewo;720;ABS_0.8
G01-GORA;lewo;292;ABS_0.8
G01-DNO;lewo;292;ABS_0.8
G01-POL1;lewo;255;ABS_0.8
G01-F1;gora;794;ABS_0.8
G01-F1;dol;794;ABS_0.8
G01-F1;lewo;714;ABS_0.8
G01-F1;prawo;714;ABS_0.8
G02-BOK-L;gora;300;ABS_0.8
G02-BOK-L;lewo;720;ABS_0.8
G02-BOK-P;gora;300;ABS_0.8
G02-BOK-P;lewo;720;ABS_0.8
G02-GORA;lewo;292;ABS_0.8
G02-DNO;lewo;292;ABS_0.8
G02-POL1;lewo;255;ABS_0.8
G02-F1;gora;594;ABS_0.8
G02-F1;dol;594;ABS_0.8
G02-F1;lewo;714;ABS_0.8
G02-F1;prawo;714;ABS_0.8
