id;role;width;height;thickness;material;quantity;edges
K01-BOK-L;bok_lewy;510;720;18;D3821_SW;1;gora,lewo
K01-BOK-P;bok_prawy;510;720;18;D3821_SW;1;gora,lewo
K01-GORA;gora;764;502;18;D3821_SW;1;lewo
K01-DNO;dno;764;502;18;D3821_SW;1;lewo
K01-PLECY;plecy;764;720;3;HDF_3mm_bialy;1;
K01-F1;front_drzwi;794;714;18;U164_EM;1;gora,dol,lewo,prawo
K02-BOK-L;bok_lewy;510;720;18;D3821_SW;1;gora,lewo
K02-BOK-P;bok_prawy;510;720;18;D3821_SW;1;gora,lewo
K02-GORA;gora;564;502;18;D3821_SW;1;lewo
K02-DNO;dno;564;502;18;D3821_SW;1;lewo
K02-PLECY;plecy;564;720;3;HDF_3mm_bialy;1;
K02-F1;front_szuflada;594;355.5;18;U164_EM;1;gora,dol,lewo,prawo
K02-F2;front_szuflada;594;355.5;18;U164_EM;1;gora,dol,lewo,prawo
K03-BOK-L;bok_lewy;510;720;18;D3821_SW;1;gora,lewo
K03-BOK-P;bok_prawy;510;720;18;D3821_SW;1;gora,lewo
K03-GORA;gora;1356;502;18;D3821_SW;1;lewo
K03-DNO;dno;1356;502;18;D3821_SW;1;lewo
K03-POL1;polka;864;465;18;D3821_SW;1;lewo
K03-PLECY;plecy;864;720;3;HDF_3mm_bialy;1;
K03-F1;front_drzwi;894;714;18;U164_EM;1;gora,dol,lewo,prawo
G01-BOK-L;bok_lewy;300;720;18;D3821_SW;1;gora,lewo
G01-BOK-P;bok_prawy;300;720;18;D3821_SW;1;gora,lewo
G01-GORA;gora;764;292;18;D3821_SW;1;lewo
G01-DNO;dno;764;292;18;D3821_SW;1;lewo
G01-POL1;polka;764;255;18;D3821_SW;1;lewo
G01-PLECY;plecy;764;720;3;HDF_3mm_bialy;1;
G01-F1;front_drzwi;794;714;18;U164_EM;1;gora,dol,lewo,prawo
G02-BOK-L;bok_lewy;300;720;18;D3821_SW;1;gora,lewo
G02-BOK-P;bok_prawy;300;720;18;D3821_SW;1;gora,lewo
G02-GORA;gora;564;292;18;D3821_SW;1;lewo
G02-DNO;dno;564;292;18;D3821_SW;1;lewo
G02-POL1;polka;564;255;18;D3821_SW;1;lewo
G02-PLECY;plecy;564;720;3;HDF_3mm_bialy;1;
G02-F1;front_drzwi;594;714;18;U164_EM;1;gora,dol,lewo,prawo
